Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
82,10.312437536526403,9.462153829425414,-8.899049627519435,[-0.93850449 -0.31270149  0.14638001],[ 0.12366908 -0.70028315 -0.70307145],[ 0.32235895 -0.64173303  0.69589039]
83,10.328822355761389,9.507582659064173,-8.85904658009952,[-0.93941175 -0.31021206  0.14585624],[ 0.12173846 -0.69967422 -0.70401402],[ 0.32044549 -0.64360273  0.69504692]
84,10.327972966342518,9.506956292637195,-8.861448999896798,[-0.93942978 -0.3101927   0.14578127],[ 0.12177604 -0.69966831 -0.70401339],[ 0.32037835 -0.64361848  0.69506328]
85,10.32550765696961,9.509730675256723,-8.86341248749595,[-0.93955874 -0.30991801  0.14553422],[ 0.12163879 -0.69946692 -0.7042372 ],[ 0.32005217 -0.6439696   0.69488831]
86,10.27050563263754,9.533658156071624,-8.888925765021781,[-0.94125998 -0.30631661  0.14212595],[ 0.11963715 -0.69608783 -0.70791856],[ 0.31577936 -0.64933187  0.69184646]
87,10.264139334030737,9.530581530579752,-8.899975499583372,[-0.94126711 -0.3063854   0.14193035],[ 0.11974582 -0.69589535 -0.7080894 ],[ 0.31571692 -0.64950569  0.69171177]
88,10.25686324060095,9.541685368112539,-8.888308251053408,[-0.94178568 -0.30512814  0.14119683],[ 0.11891613 -0.69512003 -0.7089902 ],[ 0.31448161 -0.65092624  0.69093875]
89,10.259918448884854,9.535767325681,-8.889319572225995,[-0.94158575 -0.30560707  0.14149416],[ 0.11924402 -0.69546894 -0.70859285],[ 0.31495577 -0.65032859  0.69128546]
90,10.321427729903005,9.526703703714354,-8.8495345712894,[-0.93958374 -0.30976384  0.14570092],[ 0.12113905 -0.69896352 -0.7048229 ],[ 0.32016828 -0.64459007  0.69425926]
91,10.322251879367577,9.524604149911577,-8.850196845475462,[-0.93952669 -0.30989696  0.1457857 ],[ 0.12123053 -0.69905913 -0.70471235],[ 0.32030104 -0.64442238  0.69435368]
92,10.31727260124713,9.518789746962081,-8.864043939816067,[-0.93908314 -0.31064388  0.14704842],[ 0.12105804 -0.6994015  -0.70440223],[ 0.32166412 -0.64369086  0.69440209]
93,10.294724214114865,9.531720261971,-8.856121111371156,[-0.94003194 -0.30856307  0.14535742],[ 0.1199237  -0.69794515 -0.70603886],[ 0.31930902 -0.64626728  0.69309476]
