Frame,X,Y,Z,Rotation_1,Rotation_2,Rotation_3
49,9.692707501419655,1.2442508704548974,-12.236666888170104,[-0.99825667 -0.00128528 -0.05900823],[ 0.0048436  -0.99817465 -0.06019887],[-0.05882315 -0.06037974  0.99644073]
50,9.941449937433507,1.6003427493770914,-12.182048262289257,[ 9.99504895e-01 -6.08906784e-04  3.14578199e-02],[ 0.00157888  0.99952375 -0.03081859],[-0.03142407  0.030853    0.99902984]
51,6.626588357797593,0.9579540866975392,-11.856456700905538,[-0.92756961 -0.02167346 -0.37302128],[ 0.1592838  -0.92599893 -0.34227862],[-0.33799894 -0.37690349  0.8623807 ]
52,10.154096937646552,2.471239323730151,-12.093906318253403,[ 0.99608446  0.01102619 -0.08771644],[-0.00332647  0.99616371  0.08744596],[ 0.08834413 -0.08681178  0.99229987]
53,9.574218528727327,0.8521244065694177,-12.196126372210918,[-0.9991424  -0.00260056 -0.04132435],[ 0.00432507 -0.99912096 -0.04169652],[-0.04117959 -0.0418395   0.99827536]
54,10.50142868087889,1.2199548330962893,-12.350064016856704,[9.99816226e-01 4.55902371e-04 1.91652545e-02],[-9.01425318e-05  9.99817936e-01 -1.90810616e-02],[-0.01917046  0.01907583  0.99963424]
55,9.516160446640457,3.3304940994701235,-12.002471357635622,[ 0.99354222  0.02425933 -0.11083926],[-0.01131064  0.99318578  0.11599167],[ 0.11289786 -0.11398896  0.9870464 ]
56,9.125990032939724,0.21079269024427671,-12.017710696209244,[-0.99996671  0.00123784  0.00806538],[-0.00117325 -0.99996724  0.00800849],[0.00807503 0.00799876 0.9999354 ]
57,10.89976203599659,1.9940447916787218,-11.792121044889479,[-9.99955501e-01 -5.25778586e-04  9.41912787e-03],[ 6.13377484e-04 -9.99956569e-01  9.29963358e-03],[0.00941383 0.009305   0.99991239]
58,10.828966672008448,2.286076335351061,-11.848281372346358,[-0.99919979  0.00361239 -0.03983384],[-0.0020451  -0.99922471 -0.0393165 ],[-0.03994499 -0.03920358  0.99843251]
59,10.596712708729877,2.2285367179320845,-11.872625897295592,[-0.99752758  0.00616286 -0.07000531],[-0.00129347 -0.99758871 -0.06939084],[-0.07026415 -0.06912873  0.99513023]
60,9.767762832414476,1.1908160931714822,-11.965414448844125,[-0.99879608 -0.00159364 -0.04902905],[ 0.00396848 -0.9988212  -0.04837837],[-0.04889416 -0.0485147   0.99762502]
61,8.78935485102273,0.3490449474904712,-11.868781496402756,[-0.99771467 -0.00876249 -0.06699744],[ 0.01317355 -0.99775354 -0.06568361],[-0.06627138 -0.0664161   0.99558877]
62,10.014549684938897,1.0225850180840843,-11.868244769866646,[-9.99996663e-01 -1.26348953e-04 -2.58022733e-03],[ 1.32928853e-04 -9.99996740e-01 -2.55011213e-03],[-0.0025799  -0.00255045  0.99999342]
63,10.41339740714933,1.875222492421889,-11.738382947669487,[ 0.99868164  0.00277171 -0.0512572 ],[-8.49018198e-05  9.98628996e-01  5.23461705e-02],[ 0.05133202 -0.05227281  0.99731268]
64,9.283636160173755,1.331106537425882,-11.914931366897477,[-0.99234129 -0.00169195 -0.12351479],[ 0.01667096 -0.99259265 -0.12034081],[-0.12239626 -0.12147826  0.98501888]
65,9.484029833496757,-0.33868552327809875,-11.653616807669165,[-0.99403173  0.02374913  0.10647485],[-0.0121237  -0.99401921  0.10853033],[0.10841555 0.10659173 0.98837456]
66,9.812246808254779,1.1907449389458566,-11.855722493477302,[-0.99922385 -0.00131792 -0.03936958],[ 0.00285079 -0.99923887 -0.03890449],[-0.03928834 -0.03898653  0.99846706]
67,10.213006481220056,1.3725849712044649,-11.690697948051886,[-9.99867761e-01 -1.10683069e-04 -1.62618631e-02],[ 3.74699662e-04 -9.99868163e-01 -1.62331729e-02],[-0.01625792 -0.01623712  0.99973598]
68,9.65439892000107,-1.304572998706862,-11.280455107603837,[-0.96755579  0.08646982  0.23740001],[-0.02230576 -0.96517753  0.26064303],[0.25167091 0.24689128 0.93579188]
69,9.77449038014702,-0.8056425566643832,-11.585353095133907,[-0.97745084  0.06017429  0.20240778],[-0.01538349 -0.97628262  0.21595275],[0.210602   0.20796946 0.95519396]
70,9.505657292244813,1.2921126268287468,-11.877028426626655,[-0.99759026 -0.00220624 -0.06934555],[ 0.00702546 -0.99756912 -0.06932885],[-0.06902403 -0.06964897  0.99518074]
71,11.060487513015788,1.0716639828411847,-11.408904846447868,[ 0.99894939 -0.00249988 -0.04575883],[0.00455804 0.99897976 0.0449295 ],[ 0.04559983 -0.04509087  0.99794162]
72,9.951604336858093,1.789819135262039,-11.61448448580454,[ 9.99991251e-01 -1.34924554e-04  4.18080792e-03],[ 1.52389854e-04  9.99991263e-01 -4.17745710e-03],[-0.00418021  0.00417806  0.99998253]
73,7.2902504103651715,1.0641383877230897,-11.388054068284148,[-0.95344122 -0.01806347 -0.30103747],[ 0.10634165 -0.954225   -0.27954624],[-0.28220791 -0.29854373  0.91171834]
74,9.553841726345642,1.1378896647677779,-11.760353592194527,[-0.99978284 -0.00112487 -0.02080862],[ 0.00155599 -0.99978424 -0.02071365],[-0.02078083 -0.02074153  0.99956888]
75,8.762850347872119,1.0132018396775686,-11.542381081597835,[-0.99517023 -0.00717323 -0.09790183],[ 0.01666164 -0.99519862 -0.09644737],[-0.09673992 -0.09761275  0.99051155]
76,9.514020006322058,0.8226723531056371,-11.481697741968144,[-0.99976798  0.00211919  0.02143593],[-0.00165662 -0.99976588  0.021574  ],[0.02147663 0.02153348 0.99953742]
77,9.755369530150345,1.8161758248957247,-11.465974314206722,[ 9.99868316e-01 -4.46863847e-04  1.62219187e-02],[ 7.09585808e-04  9.99868627e-01 -1.61933511e-02],[-0.01621255  0.01620273  0.99973728]
78,9.625381950282456,1.1162524332158525,-11.40949273345696,[-9.99997848e-01  1.24019836e-04  2.07073293e-03],[-1.19715419e-04 -9.99997832e-01  2.07868690e-03],[0.00207099 0.00207843 0.9999957 ]
79,9.2804664315954,2.6376215515180843,-11.530971359888522,[ 0.9995857   0.00382953 -0.02852636],[-0.00301143  0.99958448  0.02866686],[ 0.02862429 -0.02856908  0.99918189]
80,11.246477374380234,1.6545595838281844,-11.360932715753679,[-0.99360978 -0.00233245  0.11284575],[ 0.01521003 -0.993434    0.11339107],[0.11184033 0.11438286 0.98712122]
81,10.547196788312512,1.5305748704010003,-11.382999122946549,[-9.99489626e-01 -2.40412549e-04  3.19441650e-02],[ 0.001272   -0.99947815  0.03227714],[0.03191974 0.0323013  0.99896835]
82,9.688446124190888,0.8415005595184287,-11.289415991419354,[-9.99961500e-01  7.15476268e-04  8.74563972e-03],[-6.38391420e-04 -9.99960955e-01  8.81370520e-03],[0.0087516  0.00880778 0.99992291]
83,10.406664603208915,0.7708499378003654,-11.355764111870466,[0.99730406 0.0063571  0.07310401],[-0.00104988  0.99737451 -0.07240851],[-0.07337238  0.07213655  0.99469232]
84,9.993190249614772,1.0709288024979409,-11.381088635229647,[-9.99997081e-01  1.15493034e-04  2.41339527e-03],[-1.09592731e-04 -9.99997005e-01  2.44480342e-03],[0.00241367 0.00244453 0.9999941 ]
85,10.62929935301198,1.50847694636624,-11.097105681668996,[-9.99534914e-01 -1.73463688e-04  3.04946979e-02],[ 0.00110672 -0.99953142  0.03058956],[0.0304751  0.03060908 0.99906674]
86,9.347617096445141,1.752348718371115,-11.118456978910213,[ 0.99514146 -0.00358111  0.09839031],[ 0.0132604   0.99510794 -0.09789967],[-0.09755839  0.09872872  0.99032066]
87,10.023154676426646,0.7051709578663632,-11.071623917425898,[-0.99847874  0.00564559  0.05484823],[-0.00260444 -0.99846303  0.05536067],[0.05507648 0.0551336  0.99695881]
88,9.813753337969235,2.720383759778578,-10.883158304766113,[ 0.99603574  0.01466753 -0.08773631],[-0.00672627  0.99590708  0.09013242],[ 0.08869923 -0.08918498  0.9920577 ]
89,9.647290777277167,2.475072787490821,-11.000654004170128,[ 0.99969232  0.00312521 -0.02460702],[-0.00250649  0.99968092  0.02513506],[ 0.02467772 -0.02506565  0.99938117]
90,10.277691652537861,2.1433389577270976,-11.028741725340964,[ 0.99851376  0.00420265 -0.0543379 ],[-0.00119707  0.99847308  0.0552274 ],[ 0.05448703 -0.05508027  0.99699415]
